QR;ToolNummer;ToolName;D;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Message1;Message2;Message3;Message4;Message5;Maschine
;53;D6_SCHLICHT_KURZ;6;25;155;;202392 6;308196 6;;;HSK 63;C42
;54;D6_SCHLICHT_LANG;6;27;107;;202394 6;308172 6;;;HSK 63;C400
;55;D8_SCHLICHT_KURZ;8;28;158;;202392 8;308196 8;;;HSK 63;DMU
;56;D8_SCHLICHT_LANG;8;33;113;;202394 8;308172 8;;;HSK 63;C32
;57;D10_SCHLICHT_KURZ;10;34;164;;202392 10;308196 10;;;HSK 63;C42
;58;D10_SCHLICHT_LANG;10;42;127;;202394 10;308172 10;;;HSK 63;C400
;59;D12_SCHLICHT_KURZ;12;40;170;;202392 12;308196 12;;;HSK 63;DMU
;60;D12_SCHLICHT_LANG;12;50;140;;202394 12;308172 12;;;HSK 63;C32
;61;D16_SCHLICHT_KURZ;16;47;177;;202392 16;308196 16;;;HSK 63;C42
;62;D16_SCHLICHT_LANG;16;63;158;;202392 16;308172 16;;;HSK 63;C400
;63;D20_SCHLICHT_KURZ;20;57;187;;202392 20;308196 20;;;HSK 63;DMU
;64;D20_SCHLICHT_LANG;20;80;180;;202394 20;308172 20;;;HSK 63;C32
;71;D6_SCHLICHT_UEBERLANG;6;45;110;;203038 6;304272 6;;;HSK 63;C42
;72;D8_SCHLICHT_UEBERLANG;8;65;130;;203038 8;304272 8;;;HSK 63;C400
;73;D10_SCHLICHT_UEBERLANG;10;62;127;;203038 10;304272 10;;;HSK 63;DMU
;74;D12_SCHLICHT_UEBERLANG;12;77;157;;203038 12;304272 12;;;HSK 63;C32
;75;D16_SCHLICHT_UEBERLANG;16;105;185;;203038 16;304272 16;;;HSK 63;C42
;83;D4_SCHRUPP_SLOTMASCHINE;4;12;77;;205550 4;304272 6;;;HSK 63;C400
;84;D5_SCHRUPP_SLOTMASCHINE;5;22;87;;205550 5;304272 6;;;HSK 63;DMU
;85;D6_SCHRUPP_SLOTMASCHINE;6;22;87;;205550 6;304272 6;;;HSK 63;C32
;86;D8_SCHRUPP_SLOTMASCHINE;8;28;93;;205550 8;304272 8;;;HSK 63;C42
;87;D10_SCHRUPP_SLOTMASCHINE;10;34;99;;205550 10;304272 10;;;HSK 63;C400
;88;D12_SCHRUPP_SLOTMASCHINE;12;40;120;;205550 12;304272 12;;;HSK 63;DMU
;90;D16_SCHRUPP_SLOTMASCHINE;16;47;127;;205550 16;304272 16;;;HSK 63;C32
;111;D6_SCHRUPP_UEBERLANG;6;44;109;;205718 6;304272 6;;;HSK 63;C42
;112;D8_SCHRUPP_UEBERLANG;8;55;120;;205718 8;304272 8;;;HSK 63;C400
;113;D10_SCHRUPP_UEBERLANG;10;64;129;;205718 10;304272 10;;;HSK 63;DMU
;114;D12_SCHRUPP_UEBERLANG;12;66;146;;205718 12;304272 12;;;HSK 63;C32
;115;D16_SCHRUPP_UEBERLANG;16;105;185;;205718 16;304272 16;;;HSK 63;C42
;123;D6_SCHRUPP_TPC_GRUEN;6;28;93;;203089 6;304450 6;;;HSK 63;C400
